,0
0,mamba
1,samba
2,rumba
3,scuba
4,mecca
5,yucca
6,circa
7,panda
8,kinda
9,sulfa
10,omega
11,ragga
12,nigga
13,taiga
14,manga
15,conga
16,dacha
17,mocha
18,aloha
19,alpha
20,pasha
21,labia
22,tibia
23,media
24,mafia
25,cilia
26,mania
27,sepia
28,maria
29,atria
30,stria
31,curia
32,ganja
33,ninja
34,vodka
35,pukka
36,polka
37,parka
38,burka
39,koala
40,tabla
41,voila
42,calla
43,fella
44,villa
45,viola
46,uvula
47,phyla
48,llama
49,drama
50,edema
51,enema
52,magma
53,sigma
54,dogma
55,gamma
56,mamma
57,lemma
58,comma
59,aroma
60,karma
61,korma
62,arena
63,hyena
64,china
65,manna
66,wanna
67,henna
68,senna
69,gonna
70,krona
71,fauna
72,sauna
73,cocoa
74,kappa
75,poppa
76,cuppa
77,tiara
78,sabra
79,zebra
80,umbra
81,cobra
82,sacra
83,hydra
84,opera
85,infra
86,flora
87,copra
88,supra
89,tetra
90,ultra
91,extra
92,balsa
93,salsa
94,versa
95,bursa
96,fossa
97,dicta
98,theta
99,delta
100,manta
101,junta
102,quota
103,lepta
104,septa
105,aorta
106,sorta
107,pasta
108,vista
109,pitta
110,gotta
111,outta
112,sputa
113,guava
114,vulva
115,larva
116,schwa
117,fatwa
118,plaza
119,pizza
120,kebab
121,vocab
122,rehab
123,hijab
124,squab
125,dweeb
126,celeb
127,sahib
128,squib
129,climb
130,thumb
131,plumb
132,crumb
133,nabob
134,demob
135,carob
136,throb
137,blurb
138,exurb
139,scrub
140,shrub
141,lilac
142,sumac
143,cubic
144,pubic
145,medic
146,magic
147,logic
148,yogic
149,ethic
150,relic
151,colic
152,folic
153,mimic
154,comic
155,manic
156,panic
157,conic
158,ionic
159,sonic
160,tonic
161,runic
162,tunic
163,cynic
164,stoic
165,topic
166,aspic
167,lyric
168,basic
169,music
170,antic
171,optic
172,attic
173,civic
174,toxic
175,franc
176,bronc
177,assoc
178,havoc
179,ahead
180,plead
181,knead
182,bread
183,dread
184,tread
185,stead
186,jihad
187,naiad
188,triad
189,salad
190,nomad
191,gonad
192,broad
193,farad
194,squad
195,dryad
196,baaed
197,ebbed
198,gibed
199,jibed
200,embed
201,lobed
202,robed
203,cubed
204,lubed
205,tubed
206,faced
207,laced
208,maced
209,paced
210,raced
211,diced
212,riced
213,viced
214,inced
215,arced
216,faded
217,jaded
218,laded
219,waded
220,added
221,ceded
222,aided
223,hided
224,sided
225,tided
226,ended
227,boded
228,coded
229,duded
230,bleed
231,kneed
232,speed
233,breed
234,creed
235,freed
236,greed
237,treed
238,steed
239,tweed
240,effed
241,offed
242,unfed
243,caged
244,paged
245,raged
246,waged
247,edged
248,egged
249,urged
250,ached
251,oohed
252,ashed
253,shied
254,skied
255,flied
256,plied
257,spied
258,cried
259,dried
260,fried
261,pried
262,tried
263,ivied
264,baked
265,caked
266,faked
267,naked
268,raked
269,waked
270,biked
271,diked
272,hiked
273,liked
274,miked
275,piked
276,inked
277,coked
278,hoked
279,joked
280,poked
281,toked
282,yoked
283,irked
284,asked
285,nuked
286,puked
287,baled
288,haled
289,paled
290,waled
291,idled
292,ogled
293,ailed
294,filed
295,oiled
296,piled
297,riled
298,tiled
299,wiled
300,doled
301,holed
302,poled
303,soled
304,puled
305,ruled
306,famed
307,gamed
308,lamed
309,named
310,tamed
311,aimed
312,limed
313,mimed
314,rimed
315,timed
316,domed
317,homed
318,armed
319,fumed
320,caned
321,maned
322,waned
323,dined
324,fined
325,lined
326,mined
327,pined
328,wined
329,boned
330,coned
331,honed
332,toned
333,zoned
334,tuned
335,owned
336,pwned
337,booed
338,cooed
339,mooed
340,pooed
341,wooed
342,caped
343,gaped
344,japed
345,raped
346,taped
347,vaped
348,biped
349,piped
350,wiped
351,umped
352,coped
353,doped
354,hoped
355,loped
356,moped
357,roped
358,upped
359,duped
360,hyped
361,typed
362,bared
363,cared
364,dared
365,eared
366,fared
367,hared
368,oared
369,pared
370,rared
371,tared
372,shred
373,aired
374,fired
375,hired
376,mired
377,sired
378,tired
379,wired
380,bored
381,cored
382,gored
383,pored
384,erred
385,cured
